Emotions,Path
fear,Audios - Train 2/1067_TAI_FEA_XX.wav
fear,Audios - Train 2/Aug_1067_TAI_FEA_XX_PitchShiftRG_H0_TimeShifted_56.77.wav
fear,Audios - Train 2/Aug_1067_TAI_FEA_XX_PitchShiftRG_L0_TimeShifted_9.24.wav
sad,Audios - Train 2/1079_IEO_SAD_MD.wav
sad,Audios - Train 2/Aug_1079_IEO_SAD_MD_PitchShiftRG_H0_TimeShifted_8.55.wav
sad,Audios - Train 2/Aug_1079_IEO_SAD_MD_PitchShiftRG_L0_TimeShifted_4.62.wav
sad,Audios - Train 2/OAF_cab_sad.wav
sad,Audios - Train 2/Aug_OAF_cab_sad_PitchShiftRG_H0_TimeShifted_4.22.wav
sad,Audios - Train 2/Aug_OAF_cab_sad_PitchShiftRG_L0_TimeShifted_2.04.wav
sad,Audios - Train 2/1049_MTI_SAD_XX.wav
sad,Audios - Train 2/Aug_1049_MTI_SAD_XX_PitchShiftRG_H0_TimeShifted_3.6.wav
sad,Audios - Train 2/Aug_1049_MTI_SAD_XX_PitchShiftRG_L0_TimeShifted_3.53.wav
happy,Audios - Train 2/YAF_juice_happy.wav
happy,Audios - Train 2/Aug_YAF_juice_happy_PitchShiftRG_H0_TimeShifted_2.14.wav
happy,Audios - Train 2/Aug_YAF_juice_happy_PitchShiftRG_L0_TimeShifted_5.8.wav
happy,Audios - Train 2/1042_DFA_HAP_XX.wav
happy,Audios - Train 2/Aug_1042_DFA_HAP_XX_PitchShiftRG_H0_TimeShifted_4.68.wav
happy,Audios - Train 2/Aug_1042_DFA_HAP_XX_PitchShiftRG_L0_TimeShifted_9.06.wav
sad,Audios - Train 2/03-01-04-02-01-02-11.wav
sad,Audios - Train 2/Aug_03-01-04-02-01-02-11_PitchShiftRG_H0_TimeShifted_4.28.wav
sad,Audios - Train 2/Aug_03-01-04-02-01-02-11_PitchShiftRG_L0_TimeShifted_4.5.wav
happy,Audios - Train 2/YAF_keep_happy.wav
happy,Audios - Train 2/Aug_YAF_keep_happy_PitchShiftRG_H0_TimeShifted_4.26.wav
happy,Audios - Train 2/Aug_YAF_keep_happy_PitchShiftRG_L0_TimeShifted_3.01.wav
angry,Audios - Train 2/1075_IWL_ANG_XX.wav
angry,Audios - Train 2/Aug_1075_IWL_ANG_XX_PitchShiftRG_H0_TimeShifted_6.85.wav
