Emotions,Path
fear,Audios - Train 1/1067_TAI_FEA_XX.wav
fear,Audios - Train 1/Aug_1067_TAI_FEA_XX_PitchShiftRG_H0_TimeShifted_6.88.wav
fear,Audios - Train 1/Aug_1067_TAI_FEA_XX_PitchShiftRG_L0_TimeShifted_8.4.wav
sad,Audios - Train 1/1079_IEO_SAD_MD.wav
sad,Audios - Train 1/Aug_1079_IEO_SAD_MD_PitchShiftRG_H0_TimeShifted_7.25.wav
sad,Audios - Train 1/Aug_1079_IEO_SAD_MD_PitchShiftRG_L0_TimeShifted_5.69.wav
sad,Audios - Train 1/OAF_cab_sad.wav
sad,Audios - Train 1/Aug_OAF_cab_sad_PitchShiftRG_H0_TimeShifted_32.33.wav
sad,Audios - Train 1/Aug_OAF_cab_sad_PitchShiftRG_L0_TimeShifted_9.63.wav
sad,Audios - Train 1/1049_MTI_SAD_XX.wav
sad,Audios - Train 1/Aug_1049_MTI_SAD_XX_PitchShiftRG_H0_TimeShifted_7.92.wav
sad,Audios - Train 1/Aug_1049_MTI_SAD_XX_PitchShiftRG_L0_TimeShifted_7.82.wav
happy,Audios - Train 1/YAF_juice_happy.wav
happy,Audios - Train 1/Aug_YAF_juice_happy_PitchShiftRG_H0_TimeShifted_11.67.wav
happy,Audios - Train 1/Aug_YAF_juice_happy_PitchShiftRG_L0_TimeShifted_-14.13.wav
happy,Audios - Train 1/1042_DFA_HAP_XX.wav
happy,Audios - Train 1/Aug_1042_DFA_HAP_XX_PitchShiftRG_H0_TimeShifted_5.01.wav
happy,Audios - Train 1/Aug_1042_DFA_HAP_XX_PitchShiftRG_L0_TimeShifted_6.6.wav
sad,Audios - Train 1/03-01-04-02-01-02-11.wav
sad,Audios - Train 1/Aug_03-01-04-02-01-02-11_PitchShiftRG_H0_TimeShifted_28.25.wav
sad,Audios - Train 1/Aug_03-01-04-02-01-02-11_PitchShiftRG_L0_TimeShifted_8.56.wav
happy,Audios - Train 1/YAF_keep_happy.wav
happy,Audios - Train 1/Aug_YAF_keep_happy_PitchShiftRG_H0_TimeShifted_4.57.wav
happy,Audios - Train 1/Aug_YAF_keep_happy_PitchShiftRG_L0_TimeShifted_7.79.wav
angry,Audios - Train 1/1075_IWL_ANG_XX.wav
angry,Audios - Train 1/Aug_1075_IWL_ANG_XX_PitchShiftRG_H0_TimeShifted_5.71.wav
angry,Audios - Train 1/Aug_1075_IWL_ANG_XX_PitchShiftRG_L0_TimeShifted_22.29.wav
sad,Audios - Train 1/1020_ITH_SAD_XX.wav
sad,Audios - Train 1/Aug_1020_ITH_SAD_XX_PitchShiftRG_H0_TimeShifted_-14.79.wav
sad,Audios - Train 1/Aug_1020_ITH_SAD_XX_PitchShiftRG_L0_TimeShifted_8.32.wav
happy,Audios - Train 1/1038_IEO_HAP_MD.wav
happy,Audios - Train 1/Aug_1038_IEO_HAP_MD_PitchShiftRG_H0_TimeShifted_4.38.wav
happy,Audios - Train 1/Aug_1038_IEO_HAP_MD_PitchShiftRG_L0_TimeShifted_11.53.wav
fear,Audios - Train 1/1067_IOM_FEA_XX.wav
fear,Audios - Train 1/Aug_1067_IOM_FEA_XX_PitchShiftRG_H0_TimeShifted_6.17.wav
fear,Audios - Train 1/Aug_1067_IOM_FEA_XX_PitchShiftRG_L0_TimeShifted_11.37.wav
fear,Audios - Train 1/YAF_met_fear.wav
fear,Audios - Train 1/Aug_YAF_met_fear_PitchShiftRG_H0_TimeShifted_18.94.wav
fear,Audios - Train 1/Aug_YAF_met_fear_PitchShiftRG_L0_TimeShifted_7.16.wav
happy,Audios - Train 1/1078_ITH_HAP_XX.wav
happy,Audios - Train 1/Aug_1078_ITH_HAP_XX_PitchShiftRG_H0_TimeShifted_-24.76.wav
happy,Audios - Train 1/Aug_1078_ITH_HAP_XX_PitchShiftRG_L0_TimeShifted_9.4.wav
sad,Audios - Train 1/1039_WSI_SAD_XX.wav
sad,Audios - Train 1/Aug_1039_WSI_SAD_XX_PitchShiftRG_H0_TimeShifted_25.98.wav
sad,Audios - Train 1/Aug_1039_WSI_SAD_XX_PitchShiftRG_L0_TimeShifted_10.04.wav
happy,Audios - Train 1/1058_WSI_HAP_XX.wav
happy,Audios - Train 1/Aug_1058_WSI_HAP_XX_PitchShiftRG_H0_TimeShifted_3.42.wav
happy,Audios - Train 1/Aug_1058_WSI_HAP_XX_PitchShiftRG_L0_TimeShifted_4.19.wav
sad,Audios - Train 1/1052_IEO_SAD_MD.wav
sad,Audios - Train 1/Aug_1052_IEO_SAD_MD_PitchShiftRG_H0_TimeShifted_7.14.wav
sad,Audios - Train 1/Aug_1052_IEO_SAD_MD_PitchShiftRG_L0_TimeShifted_-24.49.wav
angry,Audios - Train 1/1017_ITH_ANG_XX.wav
angry,Audios - Train 1/Aug_1017_ITH_ANG_XX_PitchShiftRG_H0_TimeShifted_13.73.wav
angry,Audios - Train 1/Aug_1017_ITH_ANG_XX_PitchShiftRG_L0_TimeShifted_243.98.wav
sad,Audios - Train 1/1004_MTI_SAD_XX.wav
sad,Audios - Train 1/Aug_1004_MTI_SAD_XX_PitchShiftRG_H0_TimeShifted_17.84.wav
sad,Audios - Train 1/Aug_1004_MTI_SAD_XX_PitchShiftRG_L0_TimeShifted_103.31.wav
angry,Audios - Train 1/1045_DFA_ANG_XX.wav
angry,Audios - Train 1/Aug_1045_DFA_ANG_XX_PitchShiftRG_H0_TimeShifted_7.67.wav
angry,Audios - Train 1/Aug_1045_DFA_ANG_XX_PitchShiftRG_L0_TimeShifted_11.68.wav
happy,Audios - Train 1/03-01-03-02-01-01-09.wav
happy,Audios - Train 1/Aug_03-01-03-02-01-01-09_PitchShiftRG_H0_TimeShifted_24.1.wav
happy,Audios - Train 1/Aug_03-01-03-02-01-01-09_PitchShiftRG_L0_TimeShifted_25.41.wav
happy,Audios - Train 1/1006_IWW_HAP_XX.wav
happy,Audios - Train 1/Aug_1006_IWW_HAP_XX_PitchShiftRG_H0_TimeShifted_6.82.wav
happy,Audios - Train 1/Aug_1006_IWW_HAP_XX_PitchShiftRG_L0_TimeShifted_11.55.wav
happy,Audios - Train 1/1078_IEO_HAP_MD.wav
happy,Audios - Train 1/Aug_1078_IEO_HAP_MD_PitchShiftRG_H0_TimeShifted_2.37.wav
happy,Audios - Train 1/Aug_1078_IEO_HAP_MD_PitchShiftRG_L0_TimeShifted_3.43.wav
sad,Audios - Train 1/1063_IEO_SAD_MD.wav
sad,Audios - Train 1/Aug_1063_IEO_SAD_MD_PitchShiftRG_H0_TimeShifted_10.21.wav
sad,Audios - Train 1/Aug_1063_IEO_SAD_MD_PitchShiftRG_L0_TimeShifted_-11.42.wav
happy,Audios - Train 1/1028_ITH_HAP_XX.wav
happy,Audios - Train 1/Aug_1028_ITH_HAP_XX_PitchShiftRG_H0_TimeShifted_8.64.wav
happy,Audios - Train 1/Aug_1028_ITH_HAP_XX_PitchShiftRG_L0_TimeShifted_-82.25.wav
fear,Audios - Train 1/1030_IWW_FEA_XX.wav
fear,Audios - Train 1/Aug_1030_IWW_FEA_XX_PitchShiftRG_H0_TimeShifted_3.14.wav
fear,Audios - Train 1/Aug_1030_IWW_FEA_XX_PitchShiftRG_L0_TimeShifted_53.04.wav
angry,Audios - Train 1/1030_TIE_ANG_XX.wav
angry,Audios - Train 1/Aug_1030_TIE_ANG_XX_PitchShiftRG_H0_TimeShifted_17.06.wav
angry,Audios - Train 1/Aug_1030_TIE_ANG_XX_PitchShiftRG_L0_TimeShifted_32.75.wav
fear,Audios - Train 1/1081_IWW_FEA_XX.wav
fear,Audios - Train 1/Aug_1081_IWW_FEA_XX_PitchShiftRG_H0_TimeShifted_9.4.wav
fear,Audios - Train 1/Aug_1081_IWW_FEA_XX_PitchShiftRG_L0_TimeShifted_-18.77.wav
angry,Audios - Train 1/1038_TSI_ANG_XX.wav
angry,Audios - Train 1/Aug_1038_TSI_ANG_XX_PitchShiftRG_H0_TimeShifted_9.87.wav
angry,Audios - Train 1/Aug_1038_TSI_ANG_XX_PitchShiftRG_L0_TimeShifted_4.81.wav
sad,Audios - Train 1/1043_MTI_SAD_XX.wav
sad,Audios - Train 1/Aug_1043_MTI_SAD_XX_PitchShiftRG_H0_TimeShifted_7.71.wav
sad,Audios - Train 1/Aug_1043_MTI_SAD_XX_PitchShiftRG_L0_TimeShifted_4.85.wav
sad,Audios - Train 1/03-01-04-01-01-02-22.wav
sad,Audios - Train 1/Aug_03-01-04-01-01-02-22_PitchShiftRG_H0_TimeShifted_-44.3.wav
sad,Audios - Train 1/Aug_03-01-04-01-01-02-22_PitchShiftRG_L0_TimeShifted_7.02.wav
