Emotions,Path
surprise,Audios - Train 1/03-01-08-02-01-01-23.wav
surprise,Audios - Train 1/Aug_03-01-08-02-01-01-23_PitchShiftRG_H0_TimeShifted_13.3.wav
surprise,Audios - Train 1/Aug_03-01-08-02-01-01-23_PitchShiftRG_L0_TimeShifted_9.98.wav
sad,Audios - Train 1/03-01-04-02-02-01-03.wav
sad,Audios - Train 1/Aug_03-01-04-02-02-01-03_PitchShiftRG_H0_TimeShifted_8.03.wav
sad,Audios - Train 1/Aug_03-01-04-02-02-01-03_PitchShiftRG_L0_TimeShifted_12.04.wav
neutral,Audios - Train 1/03-01-01-01-02-02-04.wav
neutral,Audios - Train 1/Aug_03-01-01-01-02-02-04_PitchShiftRG_H0_TimeShifted_15.02.wav
neutral,Audios - Train 1/Aug_03-01-01-01-02-02-04_PitchShiftRG_L0_TimeShifted_13.03.wav
calm,Audios - Train 1/03-01-02-02-01-02-17.wav
calm,Audios - Train 1/Aug_03-01-02-02-01-02-17_PitchShiftRG_H0_TimeShifted_35.87.wav
calm,Audios - Train 1/Aug_03-01-02-02-01-02-17_PitchShiftRG_L0_TimeShifted_44.98.wav
neutral,Audios - Train 1/03-01-01-01-02-02-20.wav
neutral,Audios - Train 1/Aug_03-01-01-01-02-02-20_PitchShiftRG_H0_TimeShifted_14.56.wav
neutral,Audios - Train 1/Aug_03-01-01-01-02-02-20_PitchShiftRG_L0_TimeShifted_-1218.16.wav
calm,Audios - Train 1/03-01-02-02-02-01-13.wav
calm,Audios - Train 1/Aug_03-01-02-02-02-01-13_PitchShiftRG_H0_TimeShifted_12.22.wav
calm,Audios - Train 1/Aug_03-01-02-02-02-01-13_PitchShiftRG_L0_TimeShifted_40.09.wav
disgust,Audios - Train 1/03-01-07-02-01-02-19.wav
disgust,Audios - Train 1/Aug_03-01-07-02-01-02-19_PitchShiftRG_H0_TimeShifted_9.78.wav
disgust,Audios - Train 1/Aug_03-01-07-02-01-02-19_PitchShiftRG_L0_TimeShifted_-59.6.wav
surprise,Audios - Train 1/03-01-08-01-02-02-22.wav
surprise,Audios - Train 1/Aug_03-01-08-01-02-02-22_PitchShiftRG_H0_TimeShifted_57.88.wav
surprise,Audios - Train 1/Aug_03-01-08-01-02-02-22_PitchShiftRG_L0_TimeShifted_-24.75.wav
neutral,Audios - Train 1/03-01-01-01-01-02-03.wav
neutral,Audios - Train 1/Aug_03-01-01-01-01-02-03_PitchShiftRG_H0_TimeShifted_35.95.wav
neutral,Audios - Train 1/Aug_03-01-01-01-01-02-03_PitchShiftRG_L0_TimeShifted_9.56.wav
fear,Audios - Train 1/03-01-06-02-02-02-17.wav
fear,Audios - Train 1/Aug_03-01-06-02-02-02-17_PitchShiftRG_H0_TimeShifted_7.72.wav
fear,Audios - Train 1/Aug_03-01-06-02-02-02-17_PitchShiftRG_L0_TimeShifted_11.85.wav
angry,Audios - Train 1/03-01-05-01-02-02-21.wav
angry,Audios - Train 1/Aug_03-01-05-01-02-02-21_PitchShiftRG_H0_TimeShifted_-18.66.wav
angry,Audios - Train 1/Aug_03-01-05-01-02-02-21_PitchShiftRG_L0_TimeShifted_11.69.wav
disgust,Audios - Train 1/03-01-07-01-02-01-16.wav
disgust,Audios - Train 1/Aug_03-01-07-01-02-01-16_PitchShiftRG_H0_TimeShifted_107.31.wav
disgust,Audios - Train 1/Aug_03-01-07-01-02-01-16_PitchShiftRG_L0_TimeShifted_8.04.wav
surprise,Audios - Train 1/03-01-08-02-02-02-22.wav
surprise,Audios - Train 1/Aug_03-01-08-02-02-02-22_PitchShiftRG_H0_TimeShifted_-393.87.wav
surprise,Audios - Train 1/Aug_03-01-08-02-02-02-22_PitchShiftRG_L0_TimeShifted_17.09.wav
surprise,Audios - Train 1/03-01-08-01-01-02-17.wav
surprise,Audios - Train 1/Aug_03-01-08-01-01-02-17_PitchShiftRG_H0_TimeShifted_4.88.wav
surprise,Audios - Train 1/Aug_03-01-08-01-01-02-17_PitchShiftRG_L0_TimeShifted_13.85.wav
sad,Audios - Train 1/03-01-04-02-02-02-08.wav
sad,Audios - Train 1/Aug_03-01-04-02-02-02-08_PitchShiftRG_H0_TimeShifted_58.83.wav
sad,Audios - Train 1/Aug_03-01-04-02-02-02-08_PitchShiftRG_L0_TimeShifted_5.68.wav
happy,Audios - Train 1/03-01-03-02-02-02-10.wav
happy,Audios - Train 1/Aug_03-01-03-02-02-02-10_PitchShiftRG_H0_TimeShifted_-239.57.wav
happy,Audios - Train 1/Aug_03-01-03-02-02-02-10_PitchShiftRG_L0_TimeShifted_8.61.wav
happy,Audios - Train 1/03-01-03-02-01-02-21.wav
happy,Audios - Train 1/Aug_03-01-03-02-01-02-21_PitchShiftRG_H0_TimeShifted_-27.43.wav
happy,Audios - Train 1/Aug_03-01-03-02-01-02-21_PitchShiftRG_L0_TimeShifted_634.93.wav
happy,Audios - Train 1/03-01-03-02-01-01-01.wav
happy,Audios - Train 1/Aug_03-01-03-02-01-01-01_PitchShiftRG_H0_TimeShifted_-58.71.wav
happy,Audios - Train 1/Aug_03-01-03-02-01-01-01_PitchShiftRG_L0_TimeShifted_11.84.wav
happy,Audios - Train 1/03-01-03-02-02-01-04.wav
happy,Audios - Train 1/Aug_03-01-03-02-02-01-04_PitchShiftRG_H0_TimeShifted_5.82.wav
happy,Audios - Train 1/Aug_03-01-03-02-02-01-04_PitchShiftRG_L0_TimeShifted_23.11.wav
happy,Audios - Train 1/03-01-03-02-01-01-19.wav
happy,Audios - Train 1/Aug_03-01-03-02-01-01-19_PitchShiftRG_H0_TimeShifted_-18.0.wav
happy,Audios - Train 1/Aug_03-01-03-02-01-01-19_PitchShiftRG_L0_TimeShifted_10.17.wav
fear,Audios - Train 1/03-01-06-01-01-02-06.wav
fear,Audios - Train 1/Aug_03-01-06-01-01-02-06_PitchShiftRG_H0_TimeShifted_24.66.wav
fear,Audios - Train 1/Aug_03-01-06-01-01-02-06_PitchShiftRG_L0_TimeShifted_20.35.wav
happy,Audios - Train 1/03-01-03-01-02-02-17.wav
happy,Audios - Train 1/Aug_03-01-03-01-02-02-17_PitchShiftRG_H0_TimeShifted_32.16.wav
happy,Audios - Train 1/Aug_03-01-03-01-02-02-17_PitchShiftRG_L0_TimeShifted_-177.29.wav
surprise,Audios - Train 1/03-01-08-01-01-02-22.wav
surprise,Audios - Train 1/Aug_03-01-08-01-01-02-22_PitchShiftRG_H0_TimeShifted_9.67.wav
surprise,Audios - Train 1/Aug_03-01-08-01-01-02-22_PitchShiftRG_L0_TimeShifted_-38.65.wav
neutral,Audios - Train 1/03-01-01-01-01-01-02.wav
neutral,Audios - Train 1/Aug_03-01-01-01-01-01-02_PitchShiftRG_H0_TimeShifted_109.48.wav
neutral,Audios - Train 1/Aug_03-01-01-01-01-01-02_PitchShiftRG_L0_TimeShifted_8.45.wav
